table_schema,table_name,row_count
cash,gift_cards,1
cash,loyalty_accounts,208
cash,loyalty_cards,208
cash,otp_verifications,0
cash,pass_devices,188
cash,passes,193
cash,reward_configs,15
cash,reward_redemptions,6
cash,visit_events,174
cash,wallet_programs,4
cash,wallet_transactions,5
commerce,business_hours,0
commerce,order_events,57
commerce,order_items,73
commerce,orders,50
commerce,payments,0
commerce,refunds,0
commerce,service_windows,0
conversaflow,channel_accounts,2
conversaflow,channels,2
conversaflow,conversation_outcomes,0
conversaflow,conversation_turns,813
conversaflow,conversations,93
conversaflow,job_attempts,3362
conversaflow,memory_items,8
conversaflow,messages,2146
conversaflow,outbox,401
conversaflow,products,136
conversaflow,tool_calls,0
conversaflow,workflow_jobs,3357
dashboard_compat,local_user_credentials,1
dashboard_compat,password_reset_tokens,2
kds,device_events,0
kds,device_pairing_requests,7
kds,device_sessions,5
kds,stations,1
kds,ticket_events,164
kds,ticket_items,73
kds,tickets,50
legacy,contact_mappings,301
legacy,import_batches,2
legacy,kds_ticket_mappings,50
legacy,location_mappings,4
legacy,order_mappings,50
legacy,public_compat_imports,78
legacy,replay_queue,0
legacy,staff_mappings,6
legacy,tenant_mappings,5
legacy,user_mappings,6
observability,audit_events,0
observability,data_quality_findings,980
observability,evaluation_traces,2584
observability,integration_checks,1
observability,pipeline_traces,2646
observability,runtime_logs,0
platform,contact_identities,395
platform,contact_merge_candidates,0
platform,contacts,302
platform,external_refs,12507
platform,locations,5
platform,membership_roles,17
platform,permissions,10
platform,product_instances,30
platform,role_permissions,276
platform,roles,36
platform,staff_members,6
platform,tenant_memberships,15
platform,tenants,6
platform,users,8
