table_schema,table_name,exact_rows
public,outbox,97
auth,audit_log_entries,92
auth,instances,0
public,jobs,382
auth,flow_state,0
auth,custom_oauth_providers,0
kds,tickets,48
conversaflow,jobs,3332
auth,mfa_amr_claims,9
auth,identities,1
conversaflow,outbox,390
auth,oauth_clients,0
auth,mfa_challenges,0
auth,oauth_client_states,0
auth,mfa_factors,0
auth,oauth_authorizations,0
auth,one_time_tokens,0
auth,refresh_tokens,37
auth,sso_domains,0
auth,schema_migrations,76
auth,sso_providers,0
auth,users,1
auth,webauthn_challenges,0
auth,webauthn_credentials,0
conversaflow,business_config_changes,20
auth,saml_relay_states,0
auth,sessions,9
conversaflow,ai_turn_logs,1255
conversaflow,businesses,1
conversaflow,customers,536
conversaflow,daily_summaries,5
conversaflow,edge_function_logs,2974
conversaflow,conversations,535
conversaflow,dashboard_users,1
conversaflow,job_attempts,3337
conversaflow,inbound_events,350
conversaflow,eval_traces,17
conversaflow,messages,3948
conversaflow,conversation_outcomes,0
conversaflow,customer_preferences,9
conversaflow,pipeline_traces,5177
conversaflow,transaction_status_events,52
kds,ticket_events,151
conversaflow,security_logs,818
kds,device_sessions,0
kds,ticket_items,70
public,business_config_changes,20
public,conversation_outcomes,0
public,customer_preferences,8
public,businesses,1
public,conversation_turns,50
public,conversations,10
conversaflow,products,136
conversaflow,transactions,48
conversaflow,zettle_oauth_tokens,0
public,products,136
public,dashboard_users,1
public,job_attempts,382
public,inbound_events,113
public,transaction_status_events,0
public,messages,859
public,transactions,23
public,edge_function_logs,1112
public,pipeline_traces,31
realtime,messages,0
public,customers,10
public,security_logs,763
public,daily_summaries,4
public,zettle_oauth_tokens,0
realtime,subscription,0
storage,buckets_analytics,0
storage,s3_multipart_uploads,0
realtime,schema_migrations,69
storage,vector_indexes,0
storage,s3_multipart_uploads_parts,0
storage,migrations,61
storage,buckets_vectors,0
umi_cash,ApplePushToken,49
storage,buckets,0
storage,objects,0
supabase_migrations,schema_migrations,49
umi_cash,Tenant,3
umi_cash,RewardConfig,14
umi_cash,Location,3
umi_cash,OtpVerification,13
umi_cash,RewardRedemption,0
umi_cash,Session,132
umi_cash,Transaction,3
umi_cash,Visit,31
realtime,messages_2026_05_06,0
realtime,messages_2026_05_07,0
realtime,messages_2026_05_08,0
realtime,messages_2026_05_09,0
realtime,messages_2026_05_10,0
auth,oauth_consents,0
umi_cash,LoyaltyCard,59
umi_cash,User,64
umi_cash,GiftCard,1
auth,saml_providers,0
conversaflow,conversation_turns,1594
public,ai_turn_logs,341
